Date,Open,High,Low,Close,Adj Close,Volume
1990-07-19,3.875000,3.875000,3.875000,3.875000,1.756411,60000
1990-07-20,3.890625,3.921875,3.875000,3.921875,1.777659,104800
1990-07-23,3.843750,3.859375,3.750000,3.765625,1.706835,97600
1990-07-24,3.781250,3.843750,3.750000,3.781250,1.713918,98400
1990-07-25,3.750000,3.781250,3.734375,3.781250,1.713918,345600
1990-07-26,3.796875,3.796875,3.750000,3.750000,1.699752,339200
1990-07-27,3.734375,3.734375,3.718750,3.718750,1.685588,185600
1990-07-30,3.718750,3.734375,3.718750,3.718750,1.685588,242400
1990-07-31,3.734375,3.734375,3.718750,3.734375,1.692670,103200
1990-08-01,3.734375,3.734375,3.687500,3.718750,1.685588,563200
1990-08-02,3.703125,3.734375,3.671875,3.718750,1.685588,448800
1990-08-03,3.703125,3.703125,3.625000,3.625000,1.643095,447200
1990-08-06,3.593750,3.593750,3.468750,3.531250,1.600600,265600
1990-08-07,3.515625,3.531250,3.500000,3.500000,1.586436,133600
1990-08-08,3.500000,3.531250,3.468750,3.484375,1.579353,132800
1990-08-09,3.484375,3.484375,3.468750,3.484375,1.579353,117600
1990-08-10,3.515625,3.515625,3.453125,3.468750,1.572272,52800
1990-08-13,3.437500,3.453125,3.375000,3.453125,1.565189,137600
1990-08-14,3.468750,3.546875,3.468750,3.546875,1.607683,35200
1990-08-15,3.562500,3.625000,3.562500,3.625000,1.643095,31200
1990-08-16,3.593750,3.625000,3.593750,3.609375,1.636012,9600
1990-08-17,3.562500,3.562500,3.453125,3.468750,1.583237,260800
1990-08-20,3.437500,3.468750,3.390625,3.406250,1.554711,44000
1990-08-21,3.375000,3.375000,3.312500,3.328125,1.519051,341600
1990-08-22,3.296875,3.296875,3.250000,3.250000,1.483394,144800
1990-08-23,3.218750,3.218750,3.156250,3.171875,1.447735,224800
1990-08-24,3.203125,3.234375,3.171875,3.218750,1.469130,144000
1990-08-27,3.203125,3.234375,3.140625,3.140625,1.433472,118400
1990-08-28,3.140625,3.156250,3.125000,3.125000,1.426340,520000
1990-08-29,3.140625,3.203125,3.140625,3.203125,1.461999,695200
1990-08-30,3.218750,3.250000,3.203125,3.203125,1.461999,465600
1990-08-31,3.171875,3.187500,3.140625,3.187500,1.454867,96800
1990-09-04,3.156250,3.156250,3.140625,3.140625,1.433472,16000
